stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
PALIDANO,REG,3.9988198269079467,2.0,32,2542,798,399,153,44.972228,10.777412
PALMI,REG,1.2079810618870477,0.0,46,2957,359,188,64,38.364914,15.84438
PANTANELLA,REG,3.076982892690513,3.0,39,2572,1179,403,25,,
PASTENA,REG,1.8092762894842063,2.0,68,2501,172,42,7,,
PEDASO,REG,3.0876712328767124,2.0,56,2920,915,550,152,43.094694,13.844906
PEDEROBBA CAVASO POSSAGNO,REG,3.2268445839874413,2.0,27,1274,464,216,29,45.877299,11.965222
PERCA,REG,0.49923664122137407,0.0,10,655,25,11,6,,
PERUGIA PONTE S.GIOVANNI,REG,5.875,2.0,8,8,3,3,2,43.091801,12.438239
PERUGIA UNIVERSITA',REG,0.0,0.0,1,1,0,0,0,,
PESCARA S. MARCO,REG,-0.4340159271899886,0.0,29,1758,845,275,31,42.44613,14.208981
PIAN DI VENOLA,REG,3.050718264438581,2.0,47,3411,1012,330,57,44.332136,11.188609
PIANA BELLA MONTELIBRETTI,REG,1.7512771029628789,1.0,152,8809,636,272,67,42.105159,12.632938
PIAZZA AL SERCHIO,REG,0.9940174873446848,1.0,35,2173,343,152,30,44.182515,10.296615
PIEDIMONTE-V.S.L.-AQUINO,REG,1.3961324348080868,1.0,70,3413,311,172,78,,
PIETRABISSARA,REG,4.0,-2.0,2,2,1,1,0,44.658637,8.926969
PIETRAGALLA,REG,3.4579908675799085,2.0,32,2190,674,348,72,40.753314,15.79211
PIGNATARO MAGGIORE,REG,12.733333333333333,12.0,11,15,13,11,9,41.17384,14.160545
PINEROLO,REG,0.6043083900226758,-1.0,23,1764,406,198,33,44.887673,7.337402
PIOPPE DI SALVARO,REG,2.1719690455717973,2.0,48,3489,617,222,45,44.310761,11.161785
PIRAINETO,REG,1.2494969818913482,1.0,78,3479,178,81,45,38.169148,13.14256
PISCIOTTA PALINURO,REG,2.6943265148591276,1.0,40,2591,744,454,179,40.091539,15.243601
PISTOIA OVEST,REG,0.6831194471865746,0.0,12,1013,59,21,10,,
PIZZIGHETTONE,REG,4.799554565701559,3.0,12,449,203,121,42,45.181772,9.777133
POGGIBONSI,REG,2.3957986688851913,2.0,70,4808,1652,809,127,43.468093,11.149455
POGGIO FIDONI,REG,8.559228650137742,8.0,6,363,357,326,52,42.395811,12.795429
POGGIO MIRTETO,REG,-0.09319196428571429,-1.0,74,3584,173,85,38,42.242187,12.633043
POGGIRIDENTI-TRESIVIO-PIATEDA,REG,2.4019607843137254,1.0,6,408,76,40,10,46.166888,9.93382
POLLENZA,REG,18.0,0.0,2,2,1,1,1,43.240933,13.367031
POMEZIA - S.PALOMBA,REG,2.330441640378549,1.0,98,5072,1158,566,166,41.706171,12.573611
POMPEI,REG,0.3049403747870528,-1.0,10,587,70,41,18,40.745918,14.501109
PONT SAINT MARTIN,REG,2.061974462784179,1.0,82,3211,806,457,152,45.589834,7.795024
PONTE A ELSA,REG,1.1700251889168767,1.0,35,2382,272,116,37,43.694385,10.906008
PONTE A TRESSA,REG,2.116154873164219,1.0,15,749,92,35,11,43.250844,11.39617
PONTE DELLA VENTURINA,REG,2.156530408773679,2.0,12,1003,237,73,11,44.128589,10.990756
PONTE DI NONA,REG,0.44614393817420706,-1.0,95,6211,731,340,105,42.061563,13.581585
PONTEBBA,REG,0.9488,1.0,19,625,63,26,10,46.508463,13.311357
PONTECCHIO MARCONI,REG,2.5728155339805827,2.0,5,412,105,25,3,44.42294,11.26919
PONTI,REG,3.9379407616361073,3.0,23,1418,666,325,48,44.629979,8.365262
PONTREMOLI,REG,2.0646067415730336,1.0,50,3204,833,511,155,44.371976,9.887795
PORRETTA  TERME,REG,1.7703180212014133,1.0,30,2264,432,150,38,44.155757,10.978039
PORTICI- ERCOLANO,REG,0.5148342059336823,-1.0,10,573,65,31,18,40.809907,14.335809
PORTO DI VASTO,REG,2.1462264150943398,1.0,23,1696,328,176,55,42.167774,14.698057
PORTO D`ASCOLI,REG,3.3216695826043487,2.0,79,4001,1204,613,182,42.912792,13.896813
PORTO S. GIORGIO FERMO,REG,2.6687082405345213,1.0,68,3592,1018,617,175,43.17972,13.7975
POZZUOLI SOLFATARA,REG,2.06988082340195,2.0,49,3692,527,188,43,40.827586,14.126163
POZZUOLO MARTESANA,REG,6.5,3.0,6,6,2,2,2,45.510567,9.459096
PRACCHIA,REG,0.8336633663366336,1.0,12,1010,63,17,11,44.05479,10.90691
PRATA CAMPORTACCIO,REG,1.6671887235708693,1.0,33,2554,374,163,48,,
PRATO CENTRALE,REG,0.5137416752649845,-1.0,177,10661,1159,642,232,43.878737,11.109252
PRIMOLANO,REG,3.0860692102928127,3.0,15,1127,384,134,15,45.965315,11.700899
PRIVERNO FOSSANOVA,REG,1.7326661901358114,0.0,83,4197,882,572,223,41.421853,13.186406
QUATTRO VILLE,REG,0.9919669995657837,1.0,60,4606,437,222,72,,
QUERCIANELLA,REG,2.871903004744333,2.0,38,1897,553,305,106,43.454922,10.37255
QUILIANO VADO,REG,8.0,8.0,1,1,1,1,0,44.279933,8.435562
QUISTELLO,REG,2.965473145780051,1.0,14,782,205,120,49,,
R.C.AEROPORTO,REG,18.5,12.0,2,2,2,2,2,38.073039,15.642301
RAGUSA,REG,1.7345559845559846,0.0,18,1036,246,164,64,36.91927,14.725677
RAVENNA,REG,2.635384296664595,1.0,67,4827,1238,800,384,44.419155,12.208404
