stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
MONEGLIA,14.375,10.0,15,16,14,13,8
MONFALCONE,1.3038817775002602,0.0,158,9609,1346,713,279
MONTAGNANA,2.4921241050119334,2.0,36,2095,569,206,48
MONTALE AGLIANA,30.428571428571427,10.0,7,7,7,7,3
MONTANARO,2.0458333333333334,2.0,43,2160,443,181,68
MONTEBELLUNA,1.6097087378640778,1.0,74,3090,410,128,51
MONTECARLO SAN SALVATORE,3.3319648093841643,3.0,54,1705,717,434,133
MONTECATINI CENTRO,7.1682158240761735,6.0,124,4411,3425,2678,837
MONTECHIARO DENICE,3.7918136908962596,3.0,23,1417,631,335,55
MONTECORVINO,10.818181818181818,8.0,9,11,11,10,3
MONTEMAGGIORE,2.8409495548961425,2.0,26,1685,454,242,89
MONTEMARCIANO,3.9823100936524454,2.0,29,1922,701,511,187
MONTENERO PETACCIATO,1.7079037800687284,1.0,20,1455,221,119,34
MONTEPESCALI,2.48036858974359,1.0,37,2496,581,316,124
MONTEPULCIANO,2.7975622681505032,2.0,37,1887,582,267,55
MONTI TELTI,1.2438391699092088,1.0,22,771,142,56,16
MONTICELLO D`ALBA,0.8034188034188035,0.0,19,1287,65,36,19
MONTIRONE,3.8964646464646466,2.0,24,1980,695,446,200
MONTJOVET,10.0,4.0,1,2,2,1,1
MONZA,2.729675029594837,2.0,395,26187,7016,3812,1291
MONZA SOBBORGHI,2.8899430740037952,2.0,40,3162,840,392,85
MORANO SUL PO,2.0599352051835855,1.0,29,1852,445,246,55
MORI,10.722222222222221,9.0,14,18,18,14,9
MOROSOLO - CASCIAGO,0.0018747656542932134,0.0,43,2667,0,0,0
MORTARA,3.144249049429658,2.0,83,4208,1354,779,272
MOTTA SAN GIOVANNI LAZZARO,15.5,4.0,2,2,2,1,1
MOTTA SANTA ANASTASIA,0.75,-4.0,3,8,3,3,1
MOZZATE,0.002097064110245656,0.0,61,3338,0,0,0
MULINETTI,4.666666666666667,4.0,1,3,2,1,0
MURATELLA,2.7005049442457394,2.0,156,9506,2217,709,134
NAPOLI MERGELLINA,8.294117647058824,6.0,28,34,22,19,10
NAPOLI MONTESANTO,8.605263157894736,6.0,32,38,22,21,7
NAPOLI PIAZZA LEOPARDI,0.48197384977296354,0.0,236,18279,1538,805,297
NAPOLI S.GIOV.BARRA,0.18721296713192256,0.0,153,11105,731,342,137
NARNI AMELIA,1.5,0.0,7,14,3,2,0
NAVACCHIO,2.7591087021981333,2.0,56,3321,1038,537,105
NERA MONTORO,1.3333333333333333,1.0,1,6,0,0,0
NETTUNO,0.3576598311218335,0.0,31,1658,112,64,34
NOCERA TIRINESE,2.0,2.0,1,1,0,0,0
NOCERA UMBRA,2.437449556093624,1.0,18,1239,306,191,76
NOGARA,2.7539358600583093,2.0,57,3430,1073,638,241
NOTO,1.9297912713472485,1.0,19,1054,179,112,50
NOVATE M.SE,0.00032808398950131233,0.0,73,6096,0,0,0
NOVELLARA,-0.24232081911262798,-1.0,26,1172,96,45,21
OCCHIOBELLO,3.728307254623044,2.0,10,703,263,151,36
ODERZO,0.34375,0.0,23,1600,141,65,21
OFFIDA CASTEL DI LAMA,1.4673433362753752,1.0,49,2266,343,151,53
OLCIO,3.979990471653168,2.0,27,2099,786,450,146
OMIGNANO SALENTO,3.55622060709705,2.0,37,2339,806,541,204
ORIOLO,2.9379029521547335,2.0,57,2947,1060,402,79
ORISTANO,0.2947630922693267,-1.0,43,2005,280,172,91
ORNAVASSO,3.310027598896044,2.0,17,1087,307,162,44
ORSAGO,3.6666666666666665,5.0,3,3,2,1,0
ORTONA,2.303244837758112,1.0,23,1695,414,202,58
ORVIETO,4.523097374543037,2.0,51,3009,1085,695,352
OSCHIRI,1.5852941176470587,1.0,30,1360,165,99,43
OSPEDALETTO EUGANEO,2.2151717557251906,1.0,36,2096,384,177,55
OSPITALETTO MANTOVANO,6.285714285714286,4.0,6,476,256,182,89
OSTUNI,3.637071272196546,2.0,94,4111,1326,774,274
OTTAVIA,2.340347071583514,2.0,154,9220,1638,545,114
OZZANO DELL'EMILIA,5.631900212314225,4.0,63,3768,2318,1349,367
P.C.CANARO,2.1931818181818183,1.0,7,440,110,85,13
P.M. BADESSE,1.9115116755428103,1.0,42,2441,500,263,61
PADERNO,0.007597895967270602,0.0,36,1711,0,0,0
PADERNO DUGNANO,0.21060626985223035,0.0,131,7241,138,53,12
PADOVA,0.8460115502616856,0.0,383,22164,3571,2006,887
PAGANICA,1.0292911540714704,1.0,35,1707,167,52,12
PALAZZOLO M.SE,0.0006986899563318777,0.0,103,5725,0,0,0
